player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
Cory Joseph,Ind,PG,"","",26.7,0.3,0.7,.500,0.3,6.0,4.3,1.3,0.3,7.3
Luke Kennard,Det,SG,"","",25.8,1.3,1.3,1.000,1.3,3.8,3.3,0.8,0.8,12.5
Emmanuel Mudiay,NY,PG,DTD,SANF,18.0,1.3,1.3,1.000,0.3,3.3,4.0,1.0,0.0,6.3
Patty Mills,SA,PG,"","",34.7,3.3,3.3,1.000,1.3,1.3,3.0,1.0,0.0,12.0
CJ Miles,Tor,SF,"","",21.0,0.0,0.0,.000,2.0,2.5,1.0,0.5,0.0,7.0
Cheick Diallo,Nor,PF,"","",22.0,3.5,3.8,.933,0.0,10.3,0.5,0.3,0.5,9.0
Troy Daniels,Pho,SG,"","",32.0,1.0,1.3,.800,4.5,4.8,0.3,0.0,0.0,17.0
Pascal Siakam,Tor,PF,"","",23.0,0.8,1.5,.500,1.5,5.8,1.8,0.3,0.5,10.8
Devin Harris,Den,PG,"","",24.7,1.3,1.7,.800,1.7,2.0,4.0,1.0,0.3,9.7
Bismack Biyombo,Orl,C,"","",15.7,2.3,3.3,.700,0.0,5.7,0.3,0.0,1.7,7.0
Patrick Beverley*,LAC,PG,O,"",--,--,--,--,--,--,--,--,--,--
Michael Kidd-Gilchrist,Cha,SF,"","",21.3,1.5,2.5,.600,0.0,4.8,0.5,0.5,0.5,6.0
Ian Clark,Nor,SG,"","",25.5,1.5,1.5,1.000,0.8,2.8,1.8,0.8,0.0,11.8
Trevor Booker,Ind,PF,"","",17.3,0.3,0.3,1.000,0.0,5.0,0.7,0.7,0.3,7.7
Mike Muscala,Atl,C,"","",27.3,1.0,1.0,1.000,1.5,5.5,1.8,0.5,0.8,10.0
Kevon Looney,GS,SF,"","",24.0,1.0,1.0,1.000,0.0,4.0,2.5,2.0,2.0,5.0
Jerami Grant,OKC,SF,"","",16.7,2.3,2.7,.875,0.7,3.0,0.7,0.0,1.0,9.7
