player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
Vince Shamar Hunter,Mem,PF,"","",1.8,0.0,0.0,.000,0.0,0.8,0.0,0.0,0.3,1.5
Michael Gbinije,GS,SG,"","",--,--,--,--,--,--,--,--,--,--
Kyle Collinsworth,Dal,SG,"","",13.4,0.5,1.0,.500,0.2,3.0,1.3,0.6,0.2,2.7
Matt Costello,SA,SF,"","",8.0,0.0,0.0,.000,0.0,2.3,0.5,0.5,0.5,1.0
Jameel Warney,Dal,PF,"","",9.0,1.0,1.7,.600,0.0,3.0,0.0,0.0,0.0,5.7
Alex Poythress,Ind,PF,"","",4.2,0.0,0.0,.000,0.2,0.7,0.1,0.1,0.0,1.1
Gary Payton II,LAL,PG,"","",7.8,0.1,0.2,.667,0.1,1.2,0.7,0.2,0.2,2.1
James Webb III,Bkn,SF,"","",12.0,0.0,0.0,.000,0.4,2.4,0.4,0.1,0.0,1.6
Shaquille Harrison,Pho,PG,"","",13.0,1.1,1.5,.708,0.3,2.6,1.6,0.9,0.4,4.9
Josh Magette,Atl,PG,"","",10.1,0.5,0.5,1.000,0.3,1.0,3.0,0.3,0.0,2.2
Marcus Anthony Georges-Hunt,Min,SG,"","",5.5,0.3,0.5,.619,0.1,0.4,0.2,0.2,0.0,1.4
Davon Reed,Pho,SG,"","",10.7,0.3,0.4,.833,0.5,1.8,0.5,0.5,0.1,2.7
Matt Williams Jr.,Mia,SG,"","",3.7,0.0,0.0,.000,0.3,0.3,0.0,0.0,0.0,1.7
Derrick Walton Jr.,Mia,SG,"","",9.5,0.4,0.4,1.000,0.5,1.1,1.0,0.4,0.2,1.9
Johnathan Motley,Dal,PF,"","",6.0,0.8,2.2,.364,0.0,2.6,0.4,0.0,0.4,3.6
Chris Boucher,GS,PF,DTD,"",1.0,0.0,0.0,.000,0.0,1.0,0.0,0.0,0.0,0.0
Charles Cooke,Nor,SG,"","",3.1,0.1,0.2,.500,0.1,0.2,0.1,0.1,0.0,0.5
Mangok Mathiang,Cha,PF,"","",5.0,0.0,0.3,.000,0.0,2.5,0.0,0.3,0.0,2.0
Isaiah Hicks,NY,PF,"","",12.8,0.5,0.7,.625,0.1,2.4,0.5,0.2,0.2,3.6
Gian Clavell,Dal,SG,"","",9.1,0.3,0.3,1.000,0.9,1.0,0.4,0.3,0.0,2.9
PJ Dozier,OKC,PG,"","",1.5,0.0,0.0,.000,0.0,0.5,0.0,0.0,0.0,1.0
Ben Moore,Ind,PF,"","",4.5,0.0,0.0,.000,0.0,0.5,0.5,0.0,0.0,0.0
Jacob Wiley,Bkn,SF,"","",6.6,0.2,0.4,.500,0.2,2.2,0.4,0.2,0.0,0.8
Jamel Artis,Orl,SG,"","",10.3,0.1,0.4,.333,0.0,1.7,1.1,0.0,0.0,1.6
Nigel Hayes,LAL,SF,"","",4.3,0.3,0.3,1.000,0.5,0.0,0.5,0.0,0.0,2.3
